Reference AGB,RF-predicted AGB
175,118.7921
126,122.3942667
151,164.0491333
250,176.1424
125,128.6481333
187,191.8213333
162,141.8554667
191,147.4779667
23,69.1365
24,75.17283333
43,66.81556667
147,124.0043333
108,131.1858667
131,87.17143333
114,68.93866667
192,139.4422667
144,151.0785333
172,115.0999667
241,217.0053667
156,161.2926667
34,82.1624
152,175.7021
140,150.0862
188,142.3277
176,178.7659667
161,105.5780667
117,141.3115667
185,168.0777333
111,139.5673333
108,117.6360667
121,151.8383
177,162.6383667
168,160.7641667
179,136.8607333
169,139.8456667
155,172.9381333
143,158.2907667
96,104.1414667
234,216.1852333
108,84.5665
169,181.065
166,174.918
168,179.5343667
111,106.4100667
178,142.8203667
133,143.1987667
168,218.7803
168,166.6709
84,109.7142333
172,153.7569667
175,181.3342667
116,114.5442
75,143.0471333
40,176.7258
117,132.5926
86,78.83383333
96,56.95586667
141,125.4132
183,134.2771667
170,157.0938667
151,152.4582333
276,156.6337
207,163.1682667
100,125.7486333
165,172.5252
176,149.3474667
197,186.3975333
164,137.5528667
153,94.72406667
140,121.8335667
100,144.9269
143,112.9212
75,93.7868
119,133.4648667
209,142.3308667
34,113.5322667
157,148.3638
136,147.8681333
154,148.1391667
156,132.1382333
140,138.4150333
226,186.6378
149,171.5707
230,198.9178333
131,140.7362333
115,159.8105667
139,160.9842667
122,130.8894
145,177.7737333
128,113.2364333
152,147.8385333
183,141.3466667
164,48.8209
73,77.1996
99,65.05933333
179,106.1489
131,137.2498667
147,124.4789667
72,72.3383
185,166.0935667
238,135.4777333
127,124.1117
184,107.0444
185,185.8563667
122,181.8756333
209,180.4385
105,142.1697333
25,86.94416667
113,130.1140667
124,110.0883667
126,94.5935
135,103.9058333
209,172.3824
137,125.5260333
198,170.8336333
99,66.62626667
232,197.7163667
155,131.7966
118,98.2909
254,178.5012667
172,134.5323
165,176.1788
233,232.4870667
74,121.4212
193,164.4846667
124,157.4250333
88,102.4865
184,171.1864667
208,159.1762
138,172.0104
150,142.499
248,168.5608667
269,152.7965333
172,193.2795
363,261.1326667
110,116.0590333
112,71.10563333
118,71.90246667
65,89.02276667
130,143.5420333
80,112.5050333
117,95.0291
63,78.5475
125,113.0278667
109,82.29443333
118,108.1405
85,69.67303333
151,65.91543333
129,99.18753333
35,93.09553333
116,105.9335
164,121.6143667
139,187.2961333
118,132.8788333
147,147.3205333
177,151.0253
130,126.8914
131,139.7053333
101,117.2334
83,69.7989
160,184.8230333
83,80.49053333
104,121.8587333
143,126.3407
162,128.9267667
150,105.5880333
123,118.1023
102,108.3003667
57,115.3168667
154,139.7922667
135,133.6284
94,110.7713667
112,96.2466
152,155.3858667
130,129.3990333
259,186.8425
126,140.3001333
222,162.6757
104,105.9759
117,152.2766333
150,152.4301667
148,139.8543
113,134.1806333
100,138.6569667
165,163.3570667
155,155.5647
159,132.7061
124,160.9164333
152,134.6962
136,121.5812667
158,169.2804
140,144.2421
111,146.9472667
108,124.9614667
142,96.41683333
44,81.2934
132,151.4359333
107,129.2607333
111,116.5040667
89,129.9999667
169,119.7738667
149,145.3099667
133,142.307
243,176.8077667
125,139.8501333
134,153.1169667
152,136.6508
59,84.28513333
165,186.4977333
198,160.3205
50,145.9582667
109,133.9241667
156,141.1350667
116,128.5221
148,205.8808333
151,148.2397
104,154.2051333
92,172.1291667
102,173.9881667
149,105.4103667
141,133.7519
133,185.4261667
101,113.9191667
97,150.0012667
136,198.9826
161,163.4923
230,197.7577667
102,104.9180333
157,235.1625667
125,157.2176333
240,202.2596
116,157.3517667
110,192.2457
277,229.6024
73,129.5734667
148,190.1947
183,141.6268
160,161.5390333
197,152.8021
158,140.4201333
134,135.5833667
129,84.74146667
191,184.4654
116,131.2309667
96,75.34963333
116,94.39373333
155,169.4578333
149,94.35783333
178,179.2675333
140,107.0308
196,171.5723667
102,88.57153333
115,138.3715333
134,105.1262667
180,166.1975333
165,163.5672
55,79.5586
160,132.7583
181,172.7498667
155,130.5503333
94,117.2621667
151,170.7431333
37,98.36
185,99.95546667
182,173.1440667
257,185.2549333
141,78.00946667
152,165.1236333
150,142.0811
146,175.9139333
183,165.8128333
160,164.2033333
127,129.0515667
153,172.9742333
187,169.7716667
196,135.3654333
176,109.4948333
199,150.0900667
62,135.2676667
114,152.8619667
16,114.5420333
141,110.9900333
140,125.0573
192,190.0645
104,67.75683333
138,96.69393333
168,177.4182667
175,174.4300333
207,163.7468333
233,173.9615667
174,210.2605333
202,157.0493333
172,136.4944667
175,148.709
162,171.655
31,123.6016667
235,196.3631667
118,100.9915
229,181.1068667
180,140.6298333
170,144.9632333
161,160.9484333
114,114.0696
162,193.2150667
78,101.6012
149,124.9198333
173,94.35983333
139,135.8786667
152,125.7973667
175,154.6406667
140,132.8657
138,83.96326667
137,117.1263667
197,163.7662667
53,57.22293333
221,201.9793
213,148.4630667
133,190.7882333
175,147.0998333
199,192.9994333
181,147.6116667
168,138.8166333
30,91.7188
152,148.9979667
111,132.6158667
148,133.7347667
148,139.0472667
194,161.4008
130,154.2467667
89,137.3216333
69,151.4098333
142,133.1276
202,175.2548667
13,88.6052
134,149.1909333
69,81.90216667
82,84.25223333
156,124.4584667
127,108.9799333
116,137.7145667
157,179.3300333
89,88.77693333
90,90.6149
116,130.169
76,94.2962
54,85.5741
25,83.9151
94,90.17106667
92,97.34996667
26,78.32433333
89,130.4476
77,72.07653333
109,91.97083333
87,96.56663333
168,164.5024
93,112.6950333
78,65.80913333
95,109.7582667
28,125.1530333
116,80.26983333
107,88.56283333
98,64.9842
102,111.8521
131,135.2927
122,97.44193333
105,98.53046667
104,125.5754
139,68.63816667
126,78.07093333
127,139.0538
109,89.83056667
121,106.3485667
104,121.548
81,77.50353333
216,115.9658
108,186.0222333
154,177.0663667
109,132.1758
156,156.5763
92,129.7967
144,116.0947667
146,81.3817
105,117.6526333
109,120.4898
116,108.7996667
89,92.39216667
117,106.4128667
79,96.10203333
70,116.2282
141,83.54126667
134,150.0063
127,134.3895667
132,116.5259333
174,163.1803667
151,89.0311
88,87.31796667
81,124.5181333
55,86.65176667
96,96.22566667
108,139.7067667
128,151.5305333
87,136.1257667
112,156.8879667
54,82.43433333
137,139.3773
98,158.2674
38,68.2693
65,73.5958
61,68.35423333
36,68.87603333
22,65.37606667
97,91.37963333
76,86.4195
71,91
73,69.86023333
77,82.36243333
59,75.9141
90,132.3805333
70,94.69246667
109,126.7269
110,138.3167333
155,145.2012
124,93.49346667
125,123.6018667
86,113.4946
123,126.6787667
147,153.5990333
117,163.6034
163,172.5767667
118,90.53673333
87,125.4057
147,179.3893667
111,125.6738333
217,186.2215
86,112.5863667
162,158.8961333
95,129.0603333
56,68.65026667
94,143.7402333
87,143.3776667
95,111.4484667
88,90.62716667
110,97.20736667
116,118.1554
88,102.7835667
119,140.7217667
102,100.8525333
98,99.86973333
157,162.9051
220,173.8903667
110,103.6559333
74,109.3826
69,107.2177
39,53.03066667
136,114.7625333
97,91.15016667
92,70.50236667
99,81.4357
59,79.2119
40,65.33953333
112,87.71816667
118,121.0156667
108,70.90776667
38,73.13253333
36,70.0011
61,87.13223333
55,66.63963333
47,49.68996667
93,88.62863333
12,123.5363
68,80.88066667
71,94.8811
49,68.19276667
38,74.55186667
122,84.88916667
106,84.45073333
133,128.3601
61,86.4881
151,84.08993333
70,68.8973
185,184.4342
36,96.38163333
55,47.58726667
156,157.5464
30,60.81296667
59,91.32513333
75,132.2618333
70,91.51383333
46,96.3877
156,91.8565
152,108.561
177,154.8377667
202,70.6769
179,157.2145
190,209.5087667
171,191.6743667
114,138.355
65,66.491
156,143.3528333
106,138.6202
133,198.0893333
126,146.461
124,137.4727
96,126.0595
226,263.6612667
159,145.5993667
133,190.1085667
132,151.3723667
156,181.1899
199,204.4904
254,258.8910667
47,107.2555667
179,164.3552
156,164.3636
77,108.2762333
37,112.3116333
80,142.7232
146,142.8637667
136,122.4748333
100,140.2161667
80,98.26893333
153,189.0479333
104,139.5689333
122,132.5496
171,162.8756667
103,95.8456
148,189.7240333
159,138.9552
133,145.0052
161,161.4314
71,93.08543333
76,143.2674667
96,103.0800333
109,120.7505667
114,134.2890333
160,172.9787
111,125.8814
144,152.2394667
121,151.4003667
142,124.7096333
63,87.21216667
102,90.52273333
30,78.97123333
143,149.5078667
167,145.3990667
100,109.3565333
112,94.36816667
143,210.8835
85,217.1455333
94,71.06063333
209,125.0525333
77,82.76633333
117,109.3170333
114,161.9315333
87,66.68133333
108,70.02223333
132,132.0334
85,102.2876
98,110.8881333
185,146.7070333
232,139.1659333
133,127.7833667
120,124.3464333
188,169.7086667
185,60.93983333
127,182.7011333
175,172.9189667
193,192.1467333
113,153.9495333
153,150.1808
130,189.2271
110,141.6857667
180,166.2380667
79,129.5110333
118,137.6739
116,129.0161
84,103.2486
107,123.8362667
139,107.7926667
75,141.9739333
152,165.0159
89,106.5589
93,133.2830333
67,83.46863333
182,181.7845667
154,134.2905667
127,141.9914
158,162.9672
131,172.0345667
136,188.6517667
117,142.6646
82,86.52256667
164,138.8099
119,148.4792333
85,82.46076667
168,150.3070333
111,130.6414
105,140.8458333
17,116.6355
75,94.92546667
22,70.7596
25,56.40336667
75,58.95356667
125,133.5063667
149,150.2340333
134,124.9012667
115,90.29443333
127,153.9334333
149,93.44883333
169,113.3978667
162,167.1029333
93,136.3998667
100,122.2765
175,136.9986667
99,113.6890333
113,139.7217
132,160.1669333
110,149.7518667
165,135.0603
143,137.7693
55,71.8157
106,112.1237333
61,93.8088
91,80.96546667
106,99.06413333
107,109.3905
83,91.6465
91,92.75943333
33,82.05393333
97,84.44346667
80,86.60303333
75,86.70116667
78,106.7988
29,52.35713333
61,86.18213333
109,95.08833333
35,67.99706667
76,88.1635
60,93.922
86,108.0080667
47,52.1317
71,82.85366667
104,106.0628667
42,54.89353333
46,76.04493333
95,101.7092
85,85.31573333
63,121.082
224,233.8087667
154,198.7622667
62,134.7117333
263,265.2385333
111,183.6657333
135,142.8348667
140,147.1353667
177,186.4196
186,116.2239333
183,187.0757333
178,198.4788
134,163.2458667
134,117.2528
194,202.6815
102,113.9724667
191,239.7128
213,223.6995333
193,128.7420333
196,196.2064333
142,110.6241667
161,168.6161333
96,90.1383
197,166.7056333
194,193.7709667
132,137.6413333
218,184.7972667
196,215.8647667
167,158.9428667
126,141.5076667
213,146.5933333
118,110.0853333
184,142.2733667
66,91.70956667
155,158.4738667
66,66.59823333
40,49.54816667
126,107.2504667
71,76.83893333
152,156.1253667
31,53.70296667
73,101.3270667
123,130.7935667
24,68.3496
103,171.7696333
88,115.0871333
92,125.8286667
179,191.4195667
123,138.6034333
179,186.8516
173,169.2441667
238,198.1339
183,215.4698
220,233.0552333
146,145.8944667
196,198.3778667
155,156.289
43,80.1044
209,238.8557
245,246.7415333
149,231.6177333
184,175.2144333
207,163.5701667
179,161.0515667
141,177.1477
158,159.3102667
155,164.0616667
259,185.7531667
207,177.067
207,212.1162
